"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group B","high school","standard","none","68","68","64"
"female","group C","bachelor's degree","standard","none","46","55","61"
"female","group B","some high school","standard","none","82","93","85"
"female","group B","bachelor's degree","standard","none","39","51","46"
"female","group D","some high school","free/reduced","none","53","68","60"
"male","group B","associate's degree","standard","none","48","48","44"
"female","group D","associate's degree","free/reduced","none","66","75","70"
"female","group D","associate's degree","standard","none","69","80","83"
"male","group A","bachelor's degree","standard","none","51","55","48"
"male","group E","some college","free/reduced","none","85","77","73"
"male","group B","some high school","free/reduced","none","54","60","51"
"male","group C","some high school","standard","none","81","86","83"
"male","group E","high school","standard","none","80","63","62"
"male","group D","high school","standard","completed","80","78","75"
"female","group C","high school","standard","none","81","92","89"
"female","group C","some high school","standard","none","57","63","53"
"male","group B","associate's degree","standard","none","52","52","44"
"female","group B","some college","standard","completed","56","62","68"
"female","group C","bachelor's degree","standard","completed","77","81","85"
"male","group D","bachelor's degree","free/reduced","completed","58","58","67"
"male","group E","some college","free/reduced","none","63","59","56"
"male","group C","bachelor's degree","standard","none","56","61","61"
"female","group B","some college","standard","none","57","67","63"
"female","group B","some college","free/reduced","none","62","71","67"
"male","group B","some high school","free/reduced","none","60","56","51"
"male","group B","associate's degree","free/reduced","none","61","46","46"
"male","group C","associate's degree","standard","none","81","82","70"
"female","group C","some college","free/reduced","none","54","71","69"
"female","group D","high school","free/reduced","none","53","69","68"
"male","group D","bachelor's degree","free/reduced","none","78","83","81"
"male","group D","some college","free/reduced","none","58","55","54"
"female","group C","associate's degree","free/reduced","completed","60","70","68"
"male","group B","associate's degree","standard","completed","77","80","78"
"male","group A","high school","standard","none","77","79","65"
"female","group D","master's degree","standard","completed","79","85","97"
"male","group B","high school","standard","none","47","51","49"
"female","group C","associate's degree","free/reduced","completed","33","51","61"
"male","group E","some college","free/reduced","none","95","78","79"
"female","group D","some high school","standard","none","49","65","62"
"female","group A","high school","standard","completed","73","82","80"
"female","group E","high school","standard","completed","75","80","84"
"male","group C","master's degree","standard","none","65","62","52"
"male","group E","associate's degree","standard","none","90","80","79"
"female","group B","some high school","standard","none","57","54","64"
"female","group D","some college","standard","none","49","43","48"
"female","group B","high school","standard","none","66","76","72"
"male","group D","master's degree","free/reduced","completed","60","59","70"
"female","group D","bachelor's degree","standard","none","82","93","87"
"female","group C","some college","standard","none","54","64","58"
"male","group E","high school","standard","none","65","53","49"
"female","group D","associate's degree","standard","none","62","64","65"
"male","group D","master's degree","free/reduced","completed","49","48","49"
"female","group B","high school","free/reduced","completed","74","79","84"
"male","group D","high school","standard","none","77","62","62"
"male","group A","high school","standard","none","48","47","42"
"female","group A","high school","standard","none","63","55","60"
"female","group A","some high school","standard","none","52","63","62"
"female","group A","high school","standard","none","64","68","65"
"male","group B","associate's degree","standard","none","67","58","57"
"female","group E","high school","standard","completed","80","84","87"
"female","group B","high school","standard","completed","66","85","81"
"male","group E","associate's degree","standard","completed","82","75","71"
"male","group A","some college","standard","none","86","79","75"
"male","group D","master's degree","standard","completed","94","97","97"
"male","group B","some high school","standard","none","66","60","58"
"male","group D","high school","free/reduced","none","50","58","51"
"female","group B","some college","standard","completed","35","59","58"
"male","group E","associate's degree","standard","completed","88","79","77"
"female","group D","associate's degree","standard","none","77","74","74"
"female","group D","associate's degree","standard","none","67","78","79"
"male","group D","high school","standard","none","88","78","79"
"female","group D","high school","standard","completed","60","75","78"
"male","group A","associate's degree","free/reduced","completed","71","71","61"
"female","group B","high school","free/reduced","completed","69","83","81"
"female","group C","some high school","standard","none","60","56","56"
"female","group C","high school","standard","completed","53","69","64"
"male","group C","some high school","free/reduced","none","75","69","64"
"female","group D","master's degree","standard","completed","67","75","81"
"male","group E","some high school","standard","completed","65","48","54"
"male","group D","some college","standard","completed","73","70","71"
"male","group C","high school","free/reduced","none","40","39","28"
"female","group D","bachelor's degree","free/reduced","none","79","86","82"
"male","group C","associate's degree","free/reduced","none","45","50","50"
"female","group E","high school","standard","completed","66","68","70"
"male","group D","master's degree","standard","none","66","47","49"
"male","group B","some high school","free/reduced","none","50","48","46"
"female","group C","high school","standard","none","79","84","78"
"male","group B","master's degree","free/reduced","none","71","77","72"
"male","group C","bachelor's degree","free/reduced","none","58","59","57"
"female","group D","associate's degree","standard","none","49","64","64"
"male","group C","master's degree","free/reduced","none","77","81","80"
"female","group C","high school","standard","none","74","80","81"
"male","group C","some high school","standard","completed","59","53","59"
"female","group B","associate's degree","standard","none","57","63","63"
"male","group B","some high school","standard","none","86","72","74"
"female","group B","some college","standard","completed","83","93","91"
"male","group B","master's degree","standard","none","82","74","67"
"male","group C","associate's degree","standard","none","72","76","73"
"female","group B","bachelor's degree","free/reduced","completed","65","87","89"
"male","group C","associate's degree","free/reduced","completed","59","67","60"
"female","group E","high school","free/reduced","none","73","79","80"
"male","group E","high school","standard","none","66","57","58"
"female","group E","bachelor's degree","standard","none","86","98","91"
"female","group B","master's degree","free/reduced","completed","46","45","53"
"female","group C","high school","standard","none","86","87","85"
"male","group E","some college","free/reduced","none","72","74","68"
"female","group E","some college","standard","completed","82","82","77"
"female","group B","high school","standard","none","64","67","66"
"male","group C","associate's degree","free/reduced","completed","44","60","53"
"male","group B","high school","standard","none","65","66","61"
"female","group C","high school","standard","completed","88","100","100"
"male","group C","some college","standard","completed","74","72","74"
"female","group C","some college","free/reduced","none","59","68","70"
"female","group D","some high school","standard","completed","55","67","68"
"female","group D","high school","free/reduced","completed","34","42","42"
"male","group C","some high school","free/reduced","none","65","59","56"
"female","group B","high school","standard","completed","58","70","74"
"female","group D","some high school","standard","completed","69","83","88"
"male","group B","high school","standard","none","82","78","76"
