"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group D","associate's degree","standard","none","59","59","64"
"female","group C","associate's degree","standard","none","54","63","64"
"female","group A","associate's degree","standard","none","71","83","83"
"male","group B","high school","standard","completed","60","61","57"
"male","group D","high school","standard","none","47","49","47"
"female","group C","associate's degree","standard","none","62","68","68"
"female","group D","some college","free/reduced","completed","90","98","100"
"female","group B","associate's degree","standard","completed","90","100","97"
"male","group D","bachelor's degree","standard","none","89","81","77"
"female","group D","master's degree","standard","none","84","84","87"
"male","group C","high school","free/reduced","completed","78","75","74"
"female","group C","bachelor's degree","free/reduced","none","86","91","94"
"female","group D","high school","standard","completed","78","86","84"
"female","group B","some high school","standard","completed","50","65","69"
"female","group B","some high school","standard","none","83","87","87"
"female","group C","some college","standard","none","82","85","85"
"female","group C","high school","standard","completed","57","70","68"
"female","group B","high school","standard","none","59","68","62"
"male","group E","bachelor's degree","standard","none","86","77","78"
"male","group E","some high school","standard","completed","91","88","85"
"male","group E","some high school","standard","completed","93","85","83"
"female","group D","bachelor's degree","standard","none","87","86","84"
"male","group D","high school","standard","none","91","88","81"
"male","group B","bachelor's degree","standard","completed","63","69","67"
"male","group C","some high school","standard","none","68","59","58"
"male","group C","associate's degree","standard","completed","85","83","81"
"male","group D","bachelor's degree","standard","none","80","72","77"
"female","group C","some high school","free/reduced","none","75","80","78"
"female","group D","high school","standard","none","61","68","68"
"female","group C","master's degree","standard","none","84","92","89"
"female","group E","some college","standard","none","45","56","53"
"female","group D","high school","free/reduced","none","55","55","57"
"male","group E","some college","standard","none","56","44","49"
"female","group D","some college","standard","completed","69","83","86"
"female","group D","some college","free/reduced","none","66","72","72"
"female","group E","high school","standard","none","86","89","88"
"male","group D","associate's degree","standard","completed","75","82","78"
"female","group D","associate's degree","free/reduced","completed","42","51","60"
"female","group B","high school","free/reduced","none","45","54","57"
"male","group C","associate's degree","standard","completed","77","74","79"
"male","group E","high school","standard","none","52","41","43"
"female","group C","some college","free/reduced","none","56","66","66"
"male","group C","associate's degree","free/reduced","completed","66","63","62"
"male","group C","some high school","free/reduced","none","81","73","67"
"male","group D","associate's degree","free/reduced","completed","57","54","54"
"male","group C","high school","free/reduced","completed","62","55","57"
"male","group B","some college","standard","none","56","60","61"
"male","group C","some high school","free/reduced","completed","72","74","71"
"male","group C","high school","free/reduced","completed","41","49","47"
"female","group C","master's degree","free/reduced","completed","71","84","85"
"female","group C","high school","free/reduced","none","33","46","48"
"female","group B","some college","free/reduced","none","53","68","67"
"female","group C","some college","standard","none","55","58","62"
"female","group D","some high school","standard","completed","63","66","75"
"male","group D","some high school","standard","none","81","86","74"
"female","group E","master's degree","free/reduced","none","85","85","83"
"female","group B","bachelor's degree","free/reduced","completed","66","69","78"
"male","group D","high school","free/reduced","none","79","76","75"
"male","group D","master's degree","standard","none","91","86","82"
"male","group B","high school","standard","completed","89","83","77"
"female","group A","high school","standard","none","54","61","60"
"female","group D","high school","free/reduced","none","41","65","58"
"female","group D","some college","standard","completed","93","100","100"
"female","group D","associate's degree","standard","none","70","70","76"
"female","group B","associate's degree","standard","none","73","79","79"
"male","group C","some high school","standard","completed","100","85","82"
"female","group C","associate's degree","standard","none","70","79","79"
"male","group B","some high school","standard","none","89","80","77"
"male","group B","master's degree","standard","none","76","74","71"
"female","group C","some college","free/reduced","completed","61","76","75"
"female","group B","associate's degree","standard","completed","64","77","84"
"female","group E","some high school","standard","none","80","70","74"
"female","group A","some college","standard","none","69","81","81"
"male","group C","some college","free/reduced","completed","47","57","55"
"female","group C","some college","standard","none","37","53","53"
"male","group B","high school","standard","completed","82","82","78"
"female","group E","high school","standard","none","94","91","96"
"female","group E","associate's degree","standard","completed","100","100","100"
"male","group E","master's degree","free/reduced","none","80","85","80"
"male","group C","high school","standard","none","67","68","55"
"female","group A","some college","free/reduced","completed","55","73","68"
"female","group E","bachelor's degree","standard","none","63","64","60"
"female","group C","some college","standard","none","50","53","53"
"male","group C","high school","free/reduced","none","29","36","32"
"male","group C","master's degree","free/reduced","none","77","86","79"
"female","group E","some high school","free/reduced","none","47","63","52"
"female","group E","bachelor's degree","standard","none","72","79","78"
"male","group D","some college","standard","none","77","67","72"
"female","group E","some college","standard","completed","69","76","75"
"female","group D","some high school","standard","none","72","69","78"
"male","group E","associate's degree","free/reduced","none","73","68","63"
"male","group E","bachelor's degree","standard","completed","93","81","88"
"male","group D","high school","free/reduced","none","83","79","74"
"female","group B","master's degree","standard","completed","92","99","96"
"male","group D","some college","standard","completed","81","78","76"
"female","group C","some college","standard","none","57","72","66"
"female","group E","some high school","standard","completed","55","63","55"
"female","group E","associate's degree","free/reduced","completed","73","86","82"
"female","group C","associate's degree","free/reduced","none","55","77","75"
"female","group D","some high school","standard","none","71","83","80"
"male","group B","master's degree","free/reduced","none","48","36","35"
"male","group C","high school","standard","completed","70","67","64"
"male","group A","associate's degree","standard","none","86","79","74"
"male","group C","bachelor's degree","standard","none","72","72","60"
"male","group A","associate's degree","standard","none","76","78","72"
"male","group C","some high school","standard","none","58","50","48"
"male","group D","some college","standard","none","77","68","71"
"male","group E","some high school","standard","none","81","79","70"
"female","group B","some high school","standard","completed","87","100","100"
"female","group A","some college","standard","none","70","79","77"
"male","group E","high school","free/reduced","completed","75","64","59"
"female","group C","some college","standard","none","71","72","71"
"female","group B","master's degree","standard","none","75","94","88"
"male","group C","some college","standard","none","76","79","70"
"female","group B","some college","free/reduced","none","60","74","71"
"male","group D","master's degree","standard","completed","77","74","78"
"male","group C","associate's degree","free/reduced","none","51","65","58"
"male","group C","some high school","standard","none","56","56","54"
"male","group A","some college","standard","completed","43","37","36"
"female","group C","some high school","standard","completed","87","94","97"
"male","group B","associate's degree","free/reduced","none","38","42","36"
"male","group C","high school","standard","none","78","70","65"
"male","group B","some college","standard","none","76","73","63"
"female","group D","high school","standard","completed","71","71","74"
"male","group B","associate's degree","standard","none","73","61","55"
"male","group D","master's degree","standard","completed","83","81","79"
"male","group E","some high school","free/reduced","completed","58","58","53"
"female","group C","high school","standard","none","78","80","77"
"female","group D","some high school","standard","none","76","85","82"
"female","group C","high school","free/reduced","none","40","60","60"
"male","group C","high school","standard","none","64","57","52"
"female","group D","high school","free/reduced","completed","60","74","72"
"female","group C","some high school","standard","none","52","69","61"
"male","group D","associate's degree","free/reduced","none","66","74","70"
"male","group C","high school","standard","completed","60","59","56"
"female","group E","some college","standard","completed","94","95","96"
"female","group C","some high school","standard","none","86","87","92"
"female","group D","some college","standard","none","73","79","83"
"male","group E","some high school","standard","completed","91","88","85"
"male","group B","master's degree","free/reduced","none","72","77","69"
"male","group B","some high school","standard","completed","56","45","41"
"male","group C","high school","standard","none","60","51","46"
"male","group C","high school","standard","none","64","63","58"
"male","group E","some college","standard","none","93","84","83"
"male","group B","high school","free/reduced","completed","61","62","58"
"male","group A","some high school","free/reduced","none","53","46","42"
"female","group E","some college","free/reduced","none","63","82","77"
"male","group C","associate's degree","free/reduced","none","91","83","81"
"female","group D","high school","standard","completed","72","79","84"
"female","group C","bachelor's degree","standard","none","56","70","67"
"female","group B","high school","standard","none","62","69","58"
"male","group B","associate's degree","standard","none","66","56","61"
"male","group C","some college","standard","none","96","88","87"
