"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group E","some high school","free/reduced","completed","44","50","46"
"female","group C","some high school","free/reduced","none","49","62","59"
"female","group B","some college","standard","none","45","60","59"
"male","group A","associate's degree","standard","none","51","48","52"
"female","group D","some high school","free/reduced","none","54","64","66"
"female","group B","high school","free/reduced","completed","59","67","63"
"female","group D","high school","free/reduced","none","26","42","38"
"female","group B","some high school","standard","none","78","87","85"
"male","group C","some high school","free/reduced","none","65","61","60"
"female","group E","high school","standard","none","61","68","63"
"female","group C","bachelor's degree","free/reduced","completed","72","93","90"
"female","group B","some college","standard","completed","63","67","64"
"male","group C","bachelor's degree","standard","completed","76","65","68"
"male","group B","some college","standard","none","64","69","65"
"female","group A","some high school","standard","completed","61","74","72"
"male","group D","associate's degree","standard","none","90","94","92"
"male","group B","some college","free/reduced","none","66","67","63"
"female","group B","some high school","standard","none","51","55","54"
"male","group A","some high school","standard","none","69","68","64"
"female","group C","some college","standard","none","67","71","66"
"female","group E","bachelor's degree","standard","none","50","52","56"
"female","group A","associate's degree","free/reduced","completed","72","80","82"
"male","group C","some high school","standard","none","77","65","60"
"female","group D","master's degree","free/reduced","none","55","63","64"
"male","group B","some college","free/reduced","none","11","21","13"
"male","group C","bachelor's degree","standard","none","100","94","90"
"female","group D","some high school","free/reduced","none","38","42","43"
"female","group B","associate's degree","free/reduced","none","35","36","39"
"male","group D","some college","standard","none","74","71","67"
"male","group B","high school","standard","completed","61","66","64"
"male","group D","master's degree","standard","completed","70","70","74"
"female","group D","master's degree","standard","none","74","75","70"
"female","group C","associate's degree","standard","none","71","77","77"
"female","group E","some high school","standard","completed","86","87","86"
"male","group D","some college","standard","none","53","62","55"
"male","group D","some high school","standard","completed","80","71","68"
"female","group D","some high school","standard","none","81","84","92"
"female","group C","some college","free/reduced","completed","43","57","57"
"male","group B","some high school","standard","none","51","50","49"
"female","group E","associate's degree","standard","none","96","100","100"
"male","group D","high school","standard","none","60","54","56"
"female","group D","associate's degree","standard","none","49","56","57"
"female","group D","master's degree","free/reduced","completed","75","78","89"
"female","group C","some high school","standard","completed","54","64","61"
"male","group D","associate's degree","standard","none","58","51","50"
"female","group C","associate's degree","standard","none","74","74","76"
"female","group E","some college","standard","none","64","71","65"
"female","group D","some high school","standard","none","54","67","71"
"female","group A","bachelor's degree","free/reduced","completed","48","70","72"
"male","group D","some college","free/reduced","completed","78","81","79"
"male","group C","master's degree","standard","none","89","88","81"
