"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","high school","standard","none","75","60","61"
"female","group B","some high school","standard","completed","80","85","92"
"male","group E","associate's degree","standard","completed","86","88","85"
"male","group D","some high school","standard","none","55","39","43"
"female","group D","associate's degree","standard","none","68","80","80"
"female","group B","some high school","standard","none","53","71","68"
"female","group C","some college","free/reduced","none","48","55","57"
"female","group E","associate's degree","free/reduced","completed","77","91","89"
"female","group C","some college","free/reduced","completed","58","86","83"
"male","group B","high school","standard","completed","49","49","44"
"female","group C","some high school","free/reduced","none","44","55","55"
"female","group A","bachelor's degree","free/reduced","none","27","41","39"
"female","group C","some college","free/reduced","none","21","34","28"
"female","group D","some college","standard","none","81","87","81"
"male","group C","some college","standard","none","69","60","60"
"male","group D","associate's degree","free/reduced","none","63","66","52"
"male","group C","associate's degree","standard","none","72","63","62"
"male","group E","bachelor's degree","free/reduced","completed","60","66","64"
"female","group C","high school","standard","completed","59","85","76"
"male","group D","bachelor's degree","standard","none","68","68","67"
"male","group A","high school","free/reduced","none","42","51","43"
"female","group D","master's degree","standard","none","76","77","83"
"female","group D","some college","standard","completed","80","87","94"
"female","group C","associate's degree","standard","completed","80","88","91"
"female","group C","high school","free/reduced","none","36","55","59"
"female","group C","bachelor's degree","free/reduced","none","40","54","52"
"female","group B","associate's degree","free/reduced","none","47","55","58"
"male","group E","high school","free/reduced","none","53","52","45"
"female","group C","high school","standard","none","57","51","56"
"female","group C","associate's degree","free/reduced","none","48","59","47"
"female","group D","associate's degree","standard","none","35","56","57"
"female","group C","some college","standard","none","58","62","57"
"male","group C","high school","standard","none","57","54","53"
"male","group A","bachelor's degree","free/reduced","completed","47","47","48"
"male","group E","high school","standard","none","88","85","81"
"female","group C","some high school","standard","completed","84","96","96"
"female","group C","associate's degree","standard","completed","69","88","91"
"male","group B","some high school","free/reduced","none","57","63","60"
"female","group B","bachelor's degree","free/reduced","none","53","78","76"
"male","group A","associate's degree","free/reduced","completed","65","76","70"
"female","group D","associate's degree","standard","none","85","90","96"
"male","group E","some high school","standard","none","55","50","48"
"female","group B","some high school","standard","none","73","73","73"
"male","group C","associate's degree","standard","none","77","67","70"
"male","group B","some college","free/reduced","completed","61","55","51"
"female","group D","high school","standard","none","67","69","66"
"female","group D","high school","standard","completed","65","68","69"
"male","group C","some high school","standard","none","61","51","46"
"female","group D","associate's degree","standard","none","92","98","100"
"female","group C","some college","standard","none","53","64","63"
"female","group B","some high school","standard","none","73","81","80"
"female","group D","some high school","standard","none","78","82","85"
