"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group B","some college","standard","none","71","77","78"
"female","group C","bachelor's degree","standard","none","57","77","78"
"female","group B","bachelor's degree","standard","completed","90","93","95"
"male","group B","high school","standard","completed","86","86","93"
"female","group E","associate's degree","standard","none","72","72","71"
"female","group D","associate's degree","free/reduced","none","56","66","65"
"female","group C","bachelor's degree","free/reduced","none","59","68","76"
"female","group C","associate's degree","standard","none","80","93","93"
"female","group E","high school","standard","completed","81","79","84"
"female","group C","some college","standard","none","87","87","91"
"male","group D","high school","free/reduced","completed","63","72","64"
"male","group C","high school","standard","completed","80","67","66"
"female","group D","associate's degree","standard","none","68","75","80"
"female","group D","some college","standard","none","60","62","68"
"male","group A","bachelor's degree","free/reduced","none","74","73","78"
"female","group D","associate's degree","standard","none","80","80","86"
"female","group C","some college","standard","none","73","68","72"
"female","group B","associate's degree","free/reduced","none","63","72","71"
"female","group C","master's degree","standard","completed","58","53","63"
"male","group B","associate's degree","free/reduced","completed","49","46","51"
"female","group A","high school","standard","completed","82","88","91"
"female","group D","some college","free/reduced","none","80","88","83"
"female","group D","some high school","standard","completed","59","82","84"
"male","group B","some high school","standard","completed","68","73","72"
"male","group E","some college","standard","completed","100","90","86"
"male","group B","some college","standard","completed","66","69","75"
"male","group C","bachelor's degree","standard","none","74","69","64"
"female","group B","associate's degree","free/reduced","none","71","88","82"
"female","group E","high school","standard","completed","97","99","100"
"male","group C","high school","standard","none","70","64","62"
"male","group B","some college","free/reduced","none","54","55","48"
"female","group D","some college","free/reduced","completed","84","92","99"
"female","group D","some college","standard","none","86","100","98"
"male","group A","some high school","free/reduced","completed","38","41","36"
"male","group B","some college","standard","none","57","66","59"
"female","group C","high school","free/reduced","completed","35","61","55"
"male","group B","some high school","free/reduced","none","45","50","49"
"female","group D","associate's degree","standard","none","73","73","74"
"male","group B","some high school","free/reduced","none","38","36","33"
"female","group C","some high school","standard","none","82","81","84"
"male","group E","associate's degree","standard","completed","96","89","87"
"male","group D","some high school","standard","none","83","72","71"
"female","group C","associate's degree","standard","none","50","65","64"
"female","group E","some college","standard","completed","80","89","91"
"female","group D","some college","standard","completed","67","83","95"
"male","group D","high school","free/reduced","completed","70","67","72"
"female","group E","some high school","free/reduced","none","59","64","59"
"female","group B","associate's degree","standard","none","84","94","93"
"female","group C","bachelor's degree","free/reduced","completed","50","65","68"
"female","group C","some high school","standard","none","63","59","59"
"male","group C","associate's degree","standard","none","78","76","66"
"male","group C","master's degree","standard","none","70","53","58"
"female","group D","bachelor's degree","free/reduced","none","66","68","79"
"female","group E","bachelor's degree","standard","completed","91","100","100"
"female","group A","bachelor's degree","free/reduced","none","67","70","72"
"male","group C","bachelor's degree","standard","none","78","75","71"
"female","group C","some high school","free/reduced","none","24","33","32"
"male","group D","high school","standard","none","61","65","61"
"male","group D","some college","standard","none","56","49","51"
"female","group B","master's degree","free/reduced","completed","47","68","71"
"female","group D","master's degree","standard","completed","75","86","92"
"female","group C","some college","free/reduced","none","52","68","58"
"male","group B","some college","standard","none","79","86","76"
"male","group C","high school","standard","none","64","64","52"
"female","group C","some college","free/reduced","none","46","59","58"
"female","group A","some high school","standard","none","65","63","60"
"female","group C","bachelor's degree","free/reduced","completed","69","78","78"
"female","group D","high school","standard","none","69","72","74"
"female","group C","master's degree","free/reduced","completed","59","70","72"
"male","group B","bachelor's degree","standard","completed","86","82","81"
"male","group A","some high school","standard","none","63","68","60"
"female","group D","some college","standard","completed","70","72","82"
"female","group D","some college","standard","completed","66","86","84"
"female","group C","associate's degree","standard","none","57","64","68"
"female","group C","high school","standard","completed","46","63","58"
"female","group C","master's degree","standard","completed","71","76","71"
"male","group E","some college","standard","none","82","70","67"
"male","group C","some high school","free/reduced","none","57","60","48"
"male","group E","associate's degree","free/reduced","completed","97","91","92"
"male","group D","high school","standard","completed","99","93","97"
"male","group C","associate's degree","standard","completed","84","81","89"
"male","group D","some high school","standard","completed","67","56","61"
"male","group B","high school","free/reduced","none","67","81","67"
"male","group C","some college","standard","none","83","76","71"
"female","group B","high school","free/reduced","none","76","80","79"
"female","group C","bachelor's degree","standard","none","60","72","69"
"male","group D","high school","standard","completed","74","68","68"
"female","group B","high school","free/reduced","none","71","82","76"
"male","group C","some college","standard","completed","67","62","65"
"female","group B","some college","standard","none","53","63","61"
"male","group D","some college","standard","none","67","56","64"
"female","group C","high school","free/reduced","none","61","82","81"
"female","group D","high school","standard","completed","82","89","95"
"female","group D","associate's degree","standard","completed","77","82","80"
"male","group C","high school","standard","none","76","63","68"
"male","group C","high school","free/reduced","none","79","74","66"
"female","group D","bachelor's degree","free/reduced","completed","83","94","100"
"female","group C","associate's degree","free/reduced","completed","59","75","66"
"female","group C","some high school","standard","none","54","73","69"
"male","group C","associate's degree","standard","none","87","82","78"
"male","group D","some college","free/reduced","completed","67","60","60"
"male","group C","bachelor's degree","standard","none","52","58","56"
"male","group B","some college","free/reduced","completed","53","61","59"
"male","group C","high school","free/reduced","none","61","54","47"
"male","group B","some college","standard","none","75","75","70"
"female","group C","some college","standard","completed","62","74","72"
"female","group D","bachelor's degree","standard","completed","72","82","85"
"male","group C","high school","standard","none","62","57","55"
"female","group B","some high school","free/reduced","none","39","56","52"
"male","group B","high school","standard","completed","67","68","64"
"male","group C","high school","free/reduced","none","74","71","69"
"male","group A","some high school","standard","completed","69","75","77"
"male","group D","some college","standard","completed","75","80","81"
"male","group E","some college","standard","completed","90","83","89"
"male","group D","high school","standard","none","89","79","74"
"female","group D","some high school","standard","none","52","60","55"
"male","group C","bachelor's degree","standard","none","66","61","59"
"female","group B","some high school","standard","completed","65","73","71"
"male","group C","bachelor's degree","standard","completed","86","87","93"
"male","group B","some high school","standard","none","66","60","58"
"male","group A","high school","free/reduced","none","71","71","71"
"male","group E","high school","free/reduced","none","93","81","75"
"female","group C","associate's degree","standard","none","80","89","84"
"female","group B","some college","standard","completed","52","64","64"
"male","group C","some high school","standard","none","70","62","53"
"female","group E","associate's degree","standard","none","90","89","91"
"male","group D","some college","free/reduced","completed","55","56","55"
"male","group C","bachelor's degree","standard","completed","70","76","73"
"male","group D","some high school","standard","none","15","14","17"
"female","group C","associate's degree","free/reduced","none","50","62","54"
"female","group E","master's degree","standard","none","53","57","56"
"female","group D","high school","standard","completed","69","75","80"
"male","group D","high school","standard","completed","78","75","72"
"male","group D","some college","standard","none","100","91","88"
"female","group C","master's degree","standard","none","59","52","60"
"female","group E","bachelor's degree","standard","none","85","80","87"
"female","group A","high school","free/reduced","completed","58","79","76"
"male","group D","associate's degree","standard","none","52","51","52"
"female","group E","some high school","free/reduced","completed","67","76","79"
"male","group D","high school","standard","none","72","69","69"
"male","group E","some college","standard","none","71","62","57"
"female","group B","some college","free/reduced","completed","48","68","61"
"male","group B","some college","standard","none","82","65","65"
"male","group B","some college","standard","completed","66","68","60"
"female","group C","some college","free/reduced","none","36","45","44"
"male","group C","high school","standard","none","54","56","52"
"female","group B","high school","standard","none","47","55","50"
"female","group C","high school","free/reduced","completed","38","57","55"
"male","group A","high school","standard","none","86","79","74"
"male","group A","high school","standard","none","80","71","69"
"male","group C","high school","standard","completed","79","68","70"
"male","group C","associate's degree","free/reduced","none","85","73","70"
