"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","high school","free/reduced","completed","72","64","64"
"female","group C","bachelor's degree","free/reduced","none","54","63","62"
"female","group B","associate's degree","standard","completed","74","87","78"
"male","group A","high school","standard","completed","76","77","71"
"female","group D","master's degree","standard","completed","89","99","100"
"male","group C","high school","standard","none","59","63","55"
"male","group D","some college","standard","none","55","56","46"
"male","group E","some high school","free/reduced","completed","70","66","65"
"female","group D","high school","standard","completed","71","75","72"
"male","group B","master's degree","standard","none","63","71","69"
"male","group B","some high school","standard","none","63","61","58"
"male","group D","bachelor's degree","free/reduced","none","50","54","49"
"male","group A","high school","standard","completed","75","74","73"
"male","group E","associate's degree","standard","completed","66","56","52"
"male","group B","some college","standard","none","55","48","40"
"female","group B","associate's degree","standard","completed","69","80","77"
"female","group B","some college","standard","none","61","71","75"
"female","group C","high school","standard","none","68","78","73"
"female","group E","some high school","free/reduced","completed","56","62","66"
"female","group E","some college","free/reduced","none","47","44","46"
"male","group E","associate's degree","standard","completed","95","86","84"
"female","group D","associate's degree","standard","completed","69","82","81"
"female","group B","some college","free/reduced","none","66","83","71"
"male","group D","some high school","free/reduced","none","50","59","54"
"male","group D","some college","standard","none","79","61","66"
"female","group C","some high school","standard","completed","47","63","61"
"female","group C","some college","free/reduced","completed","63","75","80"
"male","group B","associate's degree","free/reduced","none","48","47","40"
"female","group C","high school","standard","none","70","70","70"
"female","group C","high school","free/reduced","none","37","67","62"
"female","group B","high school","standard","none","66","72","70"
"female","group D","associate's degree","standard","none","66","76","77"
"female","group E","bachelor's degree","free/reduced","completed","45","46","53"
"male","group C","high school","standard","none","76","77","66"
"male","group C","associate's degree","standard","none","57","49","47"
"male","group E","associate's degree","free/reduced","none","91","85","75"
"female","group D","associate's degree","standard","none","61","65","71"
"male","group C","associate's degree","free/reduced","completed","75","73","70"
"female","group D","high school","free/reduced","none","53","72","63"
"female","group B","bachelor's degree","free/reduced","completed","61","75","80"
"female","group C","some college","standard","completed","55","63","67"
"female","group E","bachelor's degree","standard","completed","90","99","100"
"male","group C","high school","free/reduced","none","58","72","63"
"male","group B","high school","standard","none","65","54","49"
"male","group D","some college","free/reduced","completed","62","54","55"
"male","group E","some college","standard","none","79","72","68"
"male","group B","bachelor's degree","free/reduced","none","42","36","36"
"female","group B","associate's degree","standard","none","63","74","61"
"male","group C","bachelor's degree","standard","none","60","51","50"
