"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","high school","standard","none","61","55","53"
"male","group A","some college","standard","completed","56","54","52"
"female","group C","bachelor's degree","standard","none","66","70","69"
"male","group D","some high school","standard","none","76","70","61"
"female","group B","high school","standard","completed","77","91","85"
"male","group C","some college","standard","none","79","61","69"
"female","group D","high school","standard","none","53","64","71"
"female","group C","high school","standard","none","58","66","69"
"male","group D","associate's degree","standard","completed","68","60","70"
"female","group E","bachelor's degree","standard","completed","79","92","91"
"male","group C","associate's degree","standard","completed","74","73","72"
"female","group B","some college","free/reduced","completed","65","73","76"
"male","group E","some college","standard","none","85","67","70"
"male","group E","high school","standard","completed","80","69","73"
"female","group E","associate's degree","standard","none","89","89","87"
"male","group A","some high school","standard","none","66","64","68"
"male","group B","high school","standard","none","90","80","74"
"male","group D","associate's degree","standard","none","79","70","73"
"male","group B","some college","standard","none","61","49","49"
"female","group B","some college","standard","completed","64","73","73"
"male","group B","some high school","standard","none","65","45","50"
"male","group C","bachelor's degree","standard","completed","100","94","97"
"female","group D","master's degree","free/reduced","none","70","76","77"
"male","group B","some high school","free/reduced","none","64","65","67"
"male","group D","associate's degree","free/reduced","none","87","88","81"
"female","group B","bachelor's degree","standard","none","70","81","74"
"female","group C","high school","standard","none","74","94","94"
"female","group D","associate's degree","standard","none","51","63","67"
"female","group C","master's degree","standard","none","78","88","90"
"female","group D","bachelor's degree","standard","none","42","72","64"
"female","group A","some college","free/reduced","none","61","79","68"
"female","group B","bachelor's degree","standard","none","74","83","79"
"female","group C","high school","free/reduced","none","46","47","44"
"female","group E","some college","standard","none","74","76","74"
"male","group C","bachelor's degree","free/reduced","none","56","46","48"
"female","group B","some college","standard","completed","78","96","89"
"female","group D","some high school","standard","none","55","65","67"
"male","group D","some college","standard","none","85","71","75"
"male","group D","associate's degree","standard","none","72","75","73"
"female","group B","some high school","standard","none","65","72","71"
"male","group C","high school","free/reduced","completed","65","64","61"
